z (m), u (m/s), V (1/s), T (K), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.36827435746000636, 3.9001907944277463e-16, 300.0, -9.6688219254524952e-17, 4.4341858047222097e-18, 3.408076240481053e-23, 6.3474808039789471e-12, -2.5181016705399647e-19, -3.223474514786955e-20, 6.2158517400138906e-24, 7.7428169030796888e-20, 4.6401033168504788e-19, -6.9955640433760235e-27, -1.6720866802391678e-18, -5.7365415790661972e-19, -1.6493374398392521e-19, 0.99999999997306888, -1.333483213648223e-22, 8.4749433521567405e-19, -1.7475192164905687e-23, 1.993211413495749e-20, -9.2878797200096639e-33, -6.7112791434590409e-32, 1.274032976139948e-19, -8.3843868118810944e-19, 3.0332997282763114e-26, 2.0213479304077588e-25, 9.8679987432194008e-26, -2.9011171665942355e-29, 2.0093287368905139e-19, -1.6290309077386497e-32, 1.0164841133145303e-19, 3.9815727273498416e-20, 1.3620336404271839e-20, -2.2232696083748462e-20, 3.4809192936550427e-40, 1.4875521212769488e-39, 1.7004954069714925e-38, -8.1585401087293859e-28, -1.4673941822398178e-30, 4.6053420100147364e-32, -3.7607627051526091e-24, 2.8941887013250545e-30, -1.6558099471376018e-29, -1.4343998047648002e-29, -8.7253648705892646e-22, -4.0346731289135825e-33, -1.3762642281539467e-53, -2.4633669170225215e-32, -1.0086527090159536e-30, 2.0369083693090089e-11, 2.1456136150165508e-13, -3.0767468157896399e-20, -6.9753968612241943e-22, -3.2775143422110093e-20, 2.4617871378362811e-35, 
0.00050000000000000001, 0.36584183973418966, 4.8413249184917042, 299.9903426286661, -9.6637207026207368e-17, 4.3546430731363951e-18, 2.2243926171989142e-22, 5.8217492676882109e-11, -1.0864296698177498e-21, -2.9543295767349398e-19, 5.7313000469416524e-23, 7.7400633386095428e-20, 4.6370802157005959e-19, -1.3956194027135318e-33, -1.6528759957627269e-18, -2.7996253778100649e-25, -1.4851716125066138e-18, 0.99999999975190601, -2.9453356462753982e-22, 8.4748868421382633e-19, -2.144296213325199e-22, 1.9929963540837422e-20, -1.1453237184370644e-31, -1.7153035480459382e-31, 1.2740329767139268e-19, -8.3821728529338061e-19, 7.6742452067387464e-26, 5.3662418481400513e-26, 2.433446911274521e-25, -5.0105039128152156e-28, 1.4582275939125962e-19, -1.2599087318400558e-31, 1.0164841125808892e-19, 3.9815727296177017e-20, 1.3620336094192177e-20, -2.2232647560242011e-20, 1.2361447735255665e-39, 1.3920783019060044e-38, 1.5827833565129859e-37, -7.6064337341708885e-27, -1.4673959152901703e-30, 4.6054328521299084e-32, -3.760763630165415e-24, 2.6037366765637885e-29, -1.7766453168933035e-29, -2.2172850319634124e-29, -8.7229292137471472e-22, -4.0364122272115234e-33, -2.1593121721437328e-53, -2.4683255241591685e-32, -1.1860996732914015e-29, 1.8784418906949861e-10, 2.0325383773835157e-12, -3.0767465505901356e-20, -6.9754235282872846e-22, -3.2775144675221545e-20, 2.1323374954568272e-35, 
0.001, 0.35856789230913982, 9.6826468507408183, 299.98046930589561, -9.6570112726266189e-17, 4.2565996592716219e-18, 1.4690540356121172e-21, 5.3118260743578825e-10, -3.7964782529256905e-24, -2.9614156890520098e-19, 4.2257312957513937e-22, 7.7406784607479912e-20, 4.6186755707290686e-19, 1.0746655757512522e-33, -1.6333206074504423e-18, -1.3424904224133578e-31, -1.4109972447169165e-18, 0.99999999772637094, -1.5046646293200222e-21, 8.4744024727174594e-19, -1.7952657216147595e-21, 1.99113048021483e-20, -1.8148586493580034e-31, -3.390731205343973e-31, 1.2740329818185574e-19, -8.3646259915478261e-19, 1.2358136327843893e-25, 1.4055031576753942e-26, 2.8657717769320428e-25, -8.9975467297012132e-28, 9.9254055302890244e-20, -1.2553217895223106e-31, 1.0164841176946231e-19, 3.9815727556992102e-20, 1.3620333876199229e-20, -2.2232349894197914e-20, 2.1331865890263162e-39, 1.2431027271944956e-37, 1.4172289171271084e-36, -6.404159248546573e-26, -1.467414268725379e-30, 4.606174728918278e-32, -3.760771381564208e-24, 2.3306530030155395e-28, -1.8508343795916021e-29, -2.7062816735392652e-29, -8.7067929786957504e-22, -4.0500349067384648e-33, -2.159751494853428e-53, -2.5011457549490816e-32, -1.3031582663094783e-28, 1.7232931772332166e-09, 1.9153442895392426e-11, -3.076746290487325e-20, -6.9754508703778018e-22, -3.277515597629575e-20, 1.7969537842479324e-35, 
0.0015, 0.34645250321077931, 14.523960607170464, 299.97022460373262, -9.6447165822399893e-17, 4.1096777461094531e-18, 8.7227934119708719e-21, 4.767695141675814e-09, 4.673909358885805e-24, -2.9410751254007739e-19, 2.7935433854007201e-21, 7.7450329912055593e-20, 4.5158463000793936e-19, 1.0380711017824074e-33, -1.612153902845596e-18, -3.1783463789991505e-34, -1.3507289167926132e-18, 0.99999997950276409, -9.9381133802674379e-21, 8.4704306546645844e-19, -1.3261042319034834e-20, 1.975614188912759e-20, -2.4799958378293347e-31, -1.1654670699691249e-30, 1.2740330263244438e-19, -8.2380055601821798e-19, 1.713595674992446e-25, 3.5958343074272035e-27, 3.0059371475062768e-25, -1.2238835955029839e-27, 6.1395513167537564e-20, -1.2336907046846882e-31, 1.0164841745031631e-19, 3.9815729920739921e-20, 1.3620318251477856e-20, -2.2230566682716543e-20, 3.0490640715010664e-39, 9.4659532851001537e-37, 1.2342820703592546e-35, -5.1849637018475213e-25, -1.4676054905965703e-30, 4.6119909714768049e-32, -3.7608337372141833e-24, 1.9615977732986913e-27, -1.9357347249297074e-29, -3.2708438931215055e-29, -8.6084444687626729e-22, -4.150503356555646e-33, -2.1479983641258834e-53, -2.6934181401098509e-32, -1.3220236760293366e-27, 1.5552007067010273e-08, 1.7753384150142561e-10, -3.076746115134644e-20, -6.9754803051884534e-22, -3.2775241828676153e-20, 1.4488347143081983e-35, 
0.002, 0.32949562795036985, 19.365257191062849, 299.9594151606895, -9.6138896783139536e-17, 3.8413924043147575e-18, 4.3958809101536873e-20, 4.157863389213506e-08, 2.2154829230019e-23, -2.8675953946568916e-19, 1.5654606328798285e-20, 7.7725231602916236e-20, 4.0296692456716848e-19, 9.9116327320273123e-34, -1.582586013688977e-18, -2.7384660564738383e-33, -1.3022637923370059e-18, 0.99999982045936664, -6.1254935871225984e-20, 8.4403012109188343e-19, -8.0549900518473206e-20, 1.8560590641154375e-20, -3.0831343051001284e-31, -8.5813344996443253e-30, 1.2740333980647278e-19, -7.4792670953131281e-19, 2.2007244096541323e-25, 8.871769028182752e-28, 3.0675531066917682e-25, -1.452448296393056e-27, 3.4775299933751717e-20, -1.1855663482814489e-31, 1.0164846700507153e-19, 3.9815750114034811e-20, 1.3620211064234617e-20, -2.222030366452175e-20, 3.9312297074423956e-39, 4.9821646453803358e-36, 1.0141485613742157e-34, -3.9987692410309989e-24, -1.4695323004654303e-30, 4.6548114025387332e-32, -3.7613110306565805e-24, 1.498462795723306e-26, -2.10110162951531e-29, -4.3805908176958091e-29, -8.0952263892080593e-22, -4.8209762978347501e-33, -2.1051795096922999e-53, -3.6413135041773463e-32, -1.2010829476650788e-26, 1.363634070584586e-07, 1.5985926255278024e-09, -3.0767467364765346e-20, -6.975520885974402e-22, -3.2775757491506624e-20, 1.0833265962775536e-35, 
0.0025000000000000001, 0.30769699072144563, 24.206519131445113, 299.94778010363962, -9.5240102513975301e-17, 3.2951503123969898e-18, 1.5725490576798455e-19, 3.4759312311742688e-07, 6.3286938566595085e-23, -2.7459751027308836e-19, 6.5072814665662039e-20, 7.9204455864665689e-20, 2.4393320972850726e-19, 8.809263067771943e-34, -1.5080297338932565e-18, -2.2140485215380748e-32, -1.2750953014920781e-18, 0.99999849249128225, -2.9838901610934011e-19, 8.2403914901042626e-19, -3.1130895577226882e-19, 1.0495598699114066e-20, -3.2680881567837046e-31, -7.1386748160817661e-29, 1.2740363147765275e-19, -4.4994276991745667e-19, 2.6716969323577662e-25, 2.0518726584903066e-28, 3.104671548587397e-25, -1.5001287515688953e-27, 2.9531865201873563e-20, -1.131702449577387e-31, 1.016488674095435e-19, 3.9815912744225862e-20, 1.3619505778723685e-20, -2.2164715157074557e-20, 4.4518449645679804e-39, 9.6069246108507577e-37, 7.39308147137353e-34, -2.8751112665887243e-23, -1.4879140077169471e-30, 4.940977917496605e-32, -3.7647052668543185e-24, 9.7643875010258403e-26, -2.4510034520811735e-29, -6.7542415119622696e-29, -6.1493401333769496e-22, -8.568176305055194e-33, -1.9728146750856018e-53, -7.3943296390179085e-32, -9.1462212854793339e-26, 1.1461203966191697e-06, 1.3795198081229107e-08, -3.0767539423882794e-20, -6.9756421518311934e-22, -3.2776956685921703e-20, 7.2079831648695372e-36, 
0.0030000000000000001, 0.28105473099431938, 29.047683148904689, 299.93493555175087, -9.2555023785831101e-17, 2.2273486010361876e-18, 2.5611322727514838e-19, 2.7436379081156282e-06, -4.2185457403546088e-23, -3.1903130004358449e-19, 2.2661808609361524e-19, 8.5178723944557231e-20, 4.4415935534126065e-20, 5.8255352075953993e-34, -1.2400303806580803e-18, -1.503289127142515e-31, -1.3835765393601681e-18, 0.99998804920697149, -9.106106685497808e-19, 7.2079993510629786e-19, -3.3337302706804902e-19, -3.1837812760019593e-20, -1.9802403951676401e-31, -4.3229166498654168e-28, 1.2740572800134122e-19, -7.1938966189948279e-20, 3.0433119263773192e-25, 3.9099418475487e-29, 3.1251035460163607e-25, -1.1560927122865582e-27, 7.1055767731265552e-20, -9.371441545534413e-32, 1.0165184961793446e-19, 3.9817122145254207e-20, 1.3615128077295313e-20, -2.188950069656052e-20, 3.1717697780184488e-39, -3.4548136155978525e-34, 4.1191111174642503e-33, -1.868671077779698e-22, -1.6484436769849833e-30, 6.5864116487328291e-32, -3.7863989475721843e-24, 3.6135251438343389e-25, -3.1050993480145598e-29, -1.1032473038613226e-28, -2.4839314484903253e-22, -2.3313656374985079e-32, -1.2218793436060339e-53, -2.0554117411838977e-31, -3.7195409892879381e-25, 9.0947913408583926e-06, 1.1236377964628839e-07, -3.0768109395253324e-20, -6.9763572219195917e-22, -3.274878726698336e-20, 4.1732023474062971e-36, 
0.0035000000000000001, 0.2495573117465483, 33.888293856143171, 299.92026238241402, -8.482168922788053e-17, 7.1555290628120719e-19, 1.4790563421574715e-19, 2.0088794631978949e-05, -5.9332965382029665e-22, -5.4756205322645011e-19, 1.0258896317311081e-18, 1.0110416309521642e-19, 1.3337633710908874e-21, 1.1320564906125081e-34, -5.513251629410557e-19, -5.4232748492458365e-31, -1.8469407621229905e-18, 0.99991212093472093, -1.541853770813644e-18, 4.1696945699672228e-19, -4.3451413727114509e-20, -1.5816868163452824e-19, -2.6099698318732323e-32, -1.6840660835262244e-27, 1.2741906144093987e-19, -1.6248831355166346e-21, 3.1873443083445578e-25, -4.3058527069359605e-31, 3.1282918680457058e-25, -1.5309416590547102e-28, 1.9316674462450702e-19, -3.8257925007863887e-32, 1.016717495959423e-19, 3.9825177131203995e-20, 1.3590020302389874e-20, -2.0701641716793933e-20, -4.1632479953443127e-39, -4.7617050623156578e-33, 1.1270088532125724e-32, -1.046361061325623e-21, -2.7902464437867194e-30, 1.3954134128137362e-31, -3.9045474589310369e-24, 9.1649819703711645e-26, -4.1816234155418938e-29, -1.7827683045115068e-28, -2.3845434135944422e-23, -4.8920306723503659e-32, 1.0649670580468172e-53, -4.3112002704000978e-31, -9.4191728537716279e-26, 6.6941693482820182e-05, 8.4857716434774734e-07, -3.0772055893812779e-20, -6.981069487137078e-22, -3.2170057995055546e-20, 1.854841955033086e-36, 
0.0040000000000000001, 0.2131432777330162, 38.724642206590268, 299.90269127006519, -6.4020618422735004e-17, 1.8554621352257793e-20, 5.1708682548897573e-20, 0.00013354186514280325, -4.6656960026656666e-22, -7.3359346572238714e-19, 1.4524912196627542e-18, 1.299515620493227e-19, 6.3771427579679502e-24, 1.1265456219452477e-36, -5.4223502786141347e-20, -3.9057951937254904e-31, -2.4379785214427807e-18, 0.99941332255700988, -1.7842199157323504e-18, 1.8917044291266824e-19, -8.6510129039497642e-22, -2.5589958539877288e-19, -2.5987719291750741e-34, -4.7123878941939186e-27, 1.2749009858027955e-19, -4.8262638600235252e-24, 3.2021965911070517e-25, -8.4169774991208125e-33, 3.1314172709010045e-25, 1.3782267987117789e-27, 3.9402576068294031e-19, -2.240356679535582e-33, 1.0178550426187628e-19, 3.9871080668870496e-20, 1.3460640411836889e-20, -1.6621522252581645e-20, -2.0057605719327107e-38, -3.9521626868774685e-32, 5.063110507448319e-33, -4.6342558134065127e-21, -8.3699523920185253e-30, 3.4218143227381561e-31, -4.4005473351504518e-24, 1.7367435609952228e-27, -6.0547039373623619e-29, -2.9645860387665254e-28, -3.1318344612663629e-25, -5.7224588860246528e-32, 3.1619421591996676e-53, -5.003685203234883e-31, -5.1811833749438755e-28, 0.00044732138755845992, 5.8141902890094114e-06, -3.07956461826263e-20, -7.0089641118396343e-22, -2.6512226540402225e-20, -1.5040542981582861e-36, 
0.0045000000000000005, 0.17155164653412755, 43.530240149190526, 299.88045927669322, -1.3075000361170123e-17, -1.6588507271683079e-21, 3.2715921397745284e-20, 0.00078424196451441699, -7.760636112956838e-23, -7.7092778888720128e-19, 1.3300345192048133e-18, 1.7041169180846779e-19, 5.1706206608011147e-27, 3.0395221460180072e-40, -8.0628826810434252e-22, -3.6399685774015492e-32, -3.0769440655000264e-18, 0.99653928978605177, -1.8333942238479794e-18, 1.6541109658454055e-19, -5.9828681064285001e-23, -2.7503156311025443e-19, 2.1638906809626097e-36, -8.7378283568305796e-27, 1.2777537124714453e-19, -2.013355479131406e-27, 3.213366049636607e-25, -2.4624135394495406e-35, 3.1486182520110834e-25, 2.859447582406294e-27, 6.8526797336337231e-19, 3.2044981876590671e-35, 1.0230143513687949e-19, 4.0077995776265203e-20, 1.2886663511313312e-20, -7.5792329341348726e-21, 1.0049730752210762e-38, -2.5554698749719384e-31, -1.6177073075168813e-34, -1.3728456731931482e-20, -2.3828412980497031e-29, 4.4048249275408473e-31, -5.6842187495140655e-24, 3.513731386182523e-30, -9.2537944263757691e-29, -4.9822220380897855e-28, -5.7597550214468237e-28, -5.7701864444668768e-32, 4.4561861991916305e-53, -4.5655437026039052e-31, 1.1345868168041889e-27, 0.0026413176628940637, 3.5150586539860051e-05, -3.090966762473056e-20, -7.1435886350521907e-22, -8.4807969048463442e-21, -1.5543368015706764e-35, 
0.0050000000000000001, 0.12402739728168727, 48.15395939102946, 299.85178320064585, 9.7288784447194623e-17, -1.959547578478731e-23, 2.419990188131048e-20, 0.0039216349684311229, -1.4750818014223148e-23, -7.7532253003572424e-19, 1.2166140990736178e-18, 2.2827670957326446e-19, 8.2174682737954216e-31, 3.474879621558717e-45, -2.0168996671814857e-24, -4.8012609075618333e-34, -4.0285690912876827e-18, 0.9825947934202125, -1.8411270217487939e-18, 1.6784980548001511e-19, -3.3659430106990715e-24, -2.8109982357828635e-19, -5.7225564978145103e-37, -9.531341687712347e-27, 1.2839710804345011e-19, -1.3855542242516676e-31, 3.2390533092577867e-25, -1.1370106421042919e-38, 3.1959208796056438e-25, 2.6717101523166796e-27, 1.1507735627118224e-18, 7.8121318680055284e-37, 1.0387494845712248e-19, 4.0698257964911799e-20, 1.085622352050086e-20, -2.4151557133102011e-22, 3.0924455626916477e-37, -1.3156290787588777e-30, -2.8544560657048436e-35, -2.0572233645770384e-20, -4.3856223440251711e-29, 5.9093885635942324e-32, -6.8224224745051342e-24, 1.0442434946570743e-33, -1.4321428170388233e-28, -8.1775243177561826e-28, -1.6290801189448876e-31, -5.8194293612547136e-32, 5.4396932244643418e-53, -4.0300883925748971e-31, 4.6999220783606629e-28, 0.013303098493545497, 0.00018047311781077104, -3.1296703231691668e-20, -7.6066597240993856e-22, -4.890546266760981e-22, -6.8550020282500944e-35, 
0.0052499999999999995, 0.09753358293796302, 50.177226615033973, 299.83639105814888, 1.8707581464438881e-16, -1.8687413959847183e-25, 2.0620857966414396e-20, 0.0087564583714549015, 6.0373150205664041e-24, -7.6355870099360972e-19, 1.1352541052040607e-18, 2.6321407282340064e-19, 1.2726989860802923e-34, 4.8548225484608439e-50, -4.5238249591429791e-27, -2.1273817813868732e-36, -4.6627632431753519e-18, 0.96091110203574415, -1.8230629420575994e-18, 1.6825745895209944e-19, -1.48834734303078e-25, -2.8128819452372831e-19, -2.2186426077422908e-37, -7.3617286622889801e-27, 1.280433852856113e-19, -9.2913449392329307e-36, 3.2356676370460029e-25, 2.1936875361379108e-42, 3.2046163734437991e-25, 1.5796783200915027e-27, 1.494902979069863e-18, 1.272130811165116e-37, 1.0464363365074009e-19, 4.0970010054529823e-20, 8.7396234074137559e-21, 4.6164405557713756e-22, 6.1759089576874065e-37, -2.9423352279433613e-30, -7.3716943857630862e-37, -1.9377566576812163e-20, -5.0846598544636227e-29, -2.6143144111604093e-32, -6.8778368417997158e-24, 2.6765462198119008e-37, -1.7222574798344768e-28, -1.0013397425300775e-27, -3.2756722491229069e-35, -5.8199417334878397e-32, 6.0323154247234891e-53, -3.8958101502425616e-31, -1.1618836124758043e-27, 0.029923417182124705, 0.00040902241067610498, -3.1551776228410156e-20, -7.9673683419582892e-22, -2.162485779169532e-23, -1.0793843121646875e-34, 
0.0054999999999999997, 0.06911336925211764, 51.634225417444476, 299.8224068286936, 3.0518985503628539e-16, -9.0619100705532011e-28, 1.7164487330453612e-20, 0.0188949410273959, 1.0671575813809413e-23, -7.3158517221174183e-19, 9.9651301269956844e-19, 2.9659878147252488e-19, 9.4794553502133088e-37, -1.2719644367098633e-53, -4.7668128151289015e-30, 4.3634639401680227e-37, -5.3712123902031572e-18, 0.91482460059583826, -1.7611778788884292e-18, 1.6237271101393426e-19, -2.6259672879405038e-27, -2.7380153547140455e-19, -1.0171312337756065e-37, -3.8832661871940099e-27, 1.2453736448968948e-19, -8.5479115646858448e-39, 3.1498368189634354e-25, 2.5897669902439347e-44, 3.0964978217493267e-25, 3.4010908517485395e-28, 1.9461140426788311e-18, 4.2347592290633347e-38, 1.0292764394934522e-19, 4.0179133819105199e-20, 5.6181158793790915e-21, 1.8070760635738558e-22, 1.3269695888736859e-36, -6.9093687126776358e-30, -8.510725688802598e-39, -1.5338597185469107e-20, -5.3607574793628913e-29, 1.7121522963150292e-32, -6.6034109590241384e-24, 5.81786372091798e-40, -1.9566385578435125e-28, -1.1522271893906885e-27, -3.1781906349957939e-39, -5.6791821994132779e-32, 6.3848218548530082e-53, -3.7795167647777914e-31, -5.5566324122086899e-27, 0.06538668452112216, 0.00089377385564327579, -3.127773300271498e-20, -8.0854642434998356e-22, -3.814263132718034e-25, -1.3147151141894451e-34, 
0.0056249999999999998, 0.054445670047524708, 51.989640024537387, 299.81760588938096, 3.7236647673071401e-16, -6.6458400428278945e-30, 1.3243139355839561e-20, 0.026947822423588775, 8.3198848245479375e-24, -7.1291631266201424e-19, 8.3274872206899567e-19, 3.0280097187616106e-19, 1.3203219725028516e-36, -9.5539812320069557e-54, -1.2294380228730546e-32, 4.717625535722867e-37, -5.6917935482007781e-18, 0.87762616694175555, -1.7380727606017269e-18, 1.4314086980063367e-19, -2.0754236350220608e-30, -2.6088615238909716e-19, -4.1721656052063668e-38, -2.348796956559878e-27, 1.2200345173520923e-19, -1.1530768016570032e-38, 3.0185935672250608e-25, -2.38915205735022e-45, 2.9596916515085193e-25, -1.2502347914018634e-28, 2.1766331509643959e-18, 2.6620188801612807e-38, 9.6043856630643345e-20, 3.7188012756584816e-20, 3.2392435070294982e-21, 8.5252263874823226e-23, 1.8675300662454796e-36, -1.0059573395589843e-29, -1.0493680795360189e-40, -1.2197695296204009e-20, -5.2776945978118939e-29, 1.1136608108529371e-31, -6.5394799445519839e-24, 7.6984197994905839e-40, -2.0029435477044291e-28, -1.1857030161136329e-27, 1.9668428258687589e-39, -5.4582367606931888e-32, 6.1111484399036911e-53, -3.6363646468086625e-31, -1.1886091231977095e-26, 0.094145595018327449, 0.0012804156163278928, -3.0327488870836814e-20, -5.1229391822901674e-22, -3.0222930291405005e-28, -1.4537952006189418e-34, 
0.0057499999999999999, 0.039767006583407483, 51.993478381294473, 299.81527942427277, 4.4746377751829525e-16, 5.7815744957141944e-31, 1.3384608888186369e-20, 0.037490569808417432, 8.5516965853722279e-24, -6.5609937710126645e-19, 7.9380154598533135e-19, 3.1168234741020347e-19, 3.4055028504541106e-37, -5.013610288140283e-54, 6.8680807493749262e-35, 4.9836409156099579e-37, -5.8660886876973754e-18, 0.82815877849186004, -1.5903246764866912e-18, 1.436686699085049e-19, 1.0294760106639037e-30, -2.4593929353114422e-19, -3.9610595181502137e-38, -1.4648275320114228e-27, 1.1143676852589597e-19, -2.9093768104452882e-39, 2.8494151058853703e-25, -7.6102822128854822e-46, 2.7591840981775049e-25, 2.0195827296296747e-29, 2.3846509640699828e-18, 1.033355401708759e-38, 9.3771562578123014e-20, 3.6305980834431579e-20, 2.834970898280855e-21, 2.0526939970500315e-23, 2.0934014091952813e-36, -1.0550409740703031e-29, 1.2762740646069419e-41, -1.0938971882027049e-20, -5.0297209593690553e-29, 6.9348609174543647e-32, -5.9409307151469778e-24, 1.9337503459708011e-40, -1.9698628327573821e-28, -1.1693007890365911e-27, 4.9008622479966837e-40, -5.1505248552755926e-32, 5.7870746338605845e-53, -3.4302196158077305e-31, -1.6626341356416582e-26, 0.13256408181477028, 0.001786569884951779, -2.8793575014170942e-20, -7.6535380317338742e-22, 1.4952563003287612e-28, -1.5276556212460527e-34, 
0.005875, 0.025416221818504631, 51.619705493531967, 299.81622724688776, 5.2473937595293592e-16, 4.9043052271153347e-31, 1.0767574129030809e-20, 0.050480839945649794, 6.5338049645384708e-24, -5.9861486310443553e-19, 6.6536345615016976e-19, 3.061248365739962e-19, 1.7852546659951009e-37, -2.3143715182322326e-54, 5.3110858859108991e-35, 5.295032821105523e-37, -5.9231121540328995e-18, 0.76611200793831591, -1.4548167041009378e-18, 1.2740066126071809e-19, 1.8681193619281746e-31, -2.2078637976178332e-19, -2.159330681353154e-38, -8.4353871284655099e-28, 9.9475066493294897e-20, -1.5006107778905055e-39, 2.5838492355122463e-25, 7.1175608163819178e-47, 2.5424500548902285e-25, 1.2821512055604628e-28, 2.5248940036204372e-18, 5.918449436161827e-39, 8.4930186892743586e-20, 3.2641298805861162e-20, 1.7972631939324465e-21, 4.0249049667705509e-24, 2.2348042943150607e-36, -9.0464863404063852e-30, 1.4648909884184794e-41, -8.9776552653677429e-21, -4.5995618489115905e-29, 7.7715683347067445e-32, -5.4372938579045518e-24, 9.9339653070482057e-41, -1.8453881778158696e-28, -1.0979619190677386e-27, 2.529684407145623e-40, -4.6729908385686917e-32, 5.0232950487722998e-53, -3.1152962220894309e-31, -2.2039044535042026e-26, 0.18099836908556965, 0.0024087830304641397, -2.6099440916536007e-20, -7.3588713153712835e-22, 2.7134462576014977e-29, -1.5570670433870256e-34, 
0.0060000000000000001, 0.011706819444874882, 50.895324840180841, 299.82107017102715, 6.0704325158689617e-16, 3.8138864243744389e-31, 9.3426036446655685e-21, 0.065533677905644044, 5.5285267156894735e-24, -5.2040397615215553e-19, 5.8451094970637114e-19, 2.9530165393013258e-19, 3.9950140789268306e-39, -7.6666145289208078e-60, 2.1367831202188612e-35, 5.5334106994306607e-37, -5.7895476812279237e-18, 0.69289477558606838, -1.2561195604141842e-18, 1.1646595599567646e-19, 3.1378120315837456e-33, -1.90989085426245e-19, -1.2870473660704331e-38, -4.87285168648283e-28, 8.2637251533302175e-20, -4.0512076799265183e-44, 2.2666691055911101e-25, 8.4419410804119119e-46, 2.2552446900247658e-25, 2.0848703924601291e-28, 2.5682115254194007e-18, 2.8941362346659731e-39, 7.6183301530591737e-20, 2.9069160190612701e-20, 1.4765102210384436e-21, 5.4946092432887988e-25, 2.0406624523851566e-36, -6.8897618524197722e-30, 1.5006656188812593e-41, -7.6320598812141096e-21, -4.038674525348293e-29, 2.6140710028413765e-32, -4.6715554307531607e-24, -5.3192880719922231e-43, -1.6442663471296016e-28, -9.7913581264556e-28, 3.3842857873038156e-43, -4.0896160101242384e-32, 4.2916936441586118e-53, -2.7260859366574037e-31, -2.3414044992167786e-26, 0.23844424583474008, 0.0031273006735467869, -2.2543495914705423e-20, -8.8942630298181628e-22, 4.5575591185017055e-31, -1.4597952861330473e-34, 
